=== Rodada 1 | s=4 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1382, seed_ts=1744) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.0534  | 34.3526  |   9.0534   |     9.0534    |   43.4061   |   0.0000  |   34.3526    |    9.0534  
   2     |     2     |  0.4836  |  7.2924  |   9.5370   |     9.5370    |   16.8294   |   0.0000  |    7.2924    |    9.5370  
   3     |     3     |  2.8003  |  2.0321  |  12.3374   |    12.3374    |   14.3695   |   0.0000  |    2.0321    |   12.3374  
   4     |     4     |  0.3145  |  0.9698  |  12.6519   |    12.6519    |   13.6217   |   0.0000  |    0.9698    |   12.6519  
   5     |     4     |  2.5153  | 15.3898  |  15.1672   |    15.1672    |   30.5570   |   0.0000  |   15.3898    |    1.5455  
   6     |     3     |  1.0163  |  1.1619  |  16.1835   |    16.1835    |   17.3454   |   0.0000  |    1.1619    |    1.8141  
   7     |     2     |  8.3133  | 24.6659  |  24.4969   |    24.4969    |   49.1628   |   0.0000  |   24.6659    |    7.6675  
   8     |     3     |  3.3106  |  0.4944  |  27.8074   |    27.8074    |   28.3019   |   0.0000  |    0.4944    |   10.4620  
   9     |     3     |  0.4774  |  2.9346  |  28.2849   |    28.3019    |   31.2364   |   0.0170  |    2.9516    |    0.0000  
   10    |     4     |  0.5872  | 18.0754  |  28.8720   |    30.5570    |   48.6324   |   1.6849  |   19.7603    |    0.0000  
   11    |     3     |  0.0003  |  1.5136  |  28.8723   |    31.2364    |   32.7500   |   2.3641  |    3.8777    |    0.0000  
   12    |     3     |  0.3644  |  1.1866  |  29.2367   |    32.7500    |   33.9366   |   3.5133  |    4.6999    |    0.0000  
   13    |     3     |  1.8623  | 12.7342  |  31.0990   |    33.9366    |   46.6708   |   2.8376  |   15.5718    |    0.0000  
   14    |     1     |  0.5004  |  9.7999  |  31.5993   |    43.4061    |   53.2060   |  11.8067  |   21.6066    |    0.0000  
   15    |     3     |  0.2466  | 11.5145  |  31.8460   |    46.6708    |   58.1853   |  14.8248  |   26.3393    |    0.0000  
   16    |     4     |  6.1728  |  1.8138  |  38.0187   |    48.6324    |   50.4462   |  10.6136  |   12.4275    |    0.0000  
   17    |     2     |  1.2756  |  5.7967  |  39.2944   |    49.1628    |   54.9594   |   9.8684  |   15.6651    |    0.0000  
   18    |     4     |  0.8960  |  6.8334  |  40.1904   |    50.4462    |   57.2795   |  10.2558  |   17.0891    |    0.0000  
   19    |     1     |  0.2547  |  3.1219  |  40.4451   |    53.2060    |   56.3279   |  12.7609  |   15.8828    |    0.0000  
   20    |     2     |  1.9565  |  4.4569  |  42.4016   |    54.9594    |   59.4163   |  12.5579  |   17.0148    |    0.0000  
   21    |     1     |  0.0700  | 18.7857  |  42.4715   |    56.3279    |   75.1136   |  13.8563  |   32.6421    |    0.0000  
   22    |     4     |  4.2424  |  2.5001  |  46.7139   |    57.2795    |   59.7796   |  10.5656  |   13.0657    |    0.0000  
   23    |     3     |  0.0698  | 13.9316  |  46.7837   |    58.1853    |   72.1169   |  11.4016  |   25.3332    |    0.0000  
   24    |     2     |  0.2941  |  3.0706  |  47.0778   |    59.4163    |   62.4870   |  12.3385  |   15.4091    |    0.0000  
   25    |     4     |  1.8194  |  2.6831  |  48.8972   |    59.7796    |   62.4627   |  10.8824  |   13.5655    |    0.0000  
   26    |     4     |  3.0689  |  0.2951  |  51.9662   |    62.4627    |   62.7578   |  10.4966  |   10.7916    |    0.0000  
   27    |     2     |  4.6977  |  7.5994  |  56.6639   |    62.4870    |   70.0864   |   5.8231  |   13.4225    |    0.0000  
   28    |     4     |  0.6681  |  6.6653  |  57.3320   |    62.7578    |   69.4232   |   5.4258  |   12.0912    |    0.0000  
   29    |     4     |  0.1862  |  5.4993  |  57.5182   |    69.4232    |   74.9224   |  11.9050  |   17.4042    |    0.0000  
   30    |     2     |  6.1844  |  1.0555  |  63.7026   |    70.0864    |   71.1419   |   6.3838  |    7.4393    |    0.0000  
   31    |     2     |  5.5170  |  4.0929  |  69.2196   |    71.1419    |   75.2348   |   1.9223  |    6.0152    |    0.0000  
   32    |     3     |  2.0562  | 10.3751  |  71.2757   |    72.1169    |   82.4920   |   0.8412  |   11.2163    |    0.0000  
   33    |     4     |  0.6849  |  2.6501  |  71.9606   |    74.9224    |   77.5725   |   2.9618  |    5.6118    |    0.0000  
   34    |     1     |  1.0352  |  2.0071  |  72.9958   |    75.1136    |   77.1207   |   2.1178  |    4.1249    |    0.0000  
   35    |     2     |  2.6548  |  2.5528  |  75.6506   |    75.6506    |   78.2034   |   0.0000  |    2.5528    |    0.4158  
   36    |     1     |  0.9570  |  6.5589  |  76.6076   |    77.1207    |   83.6796   |   0.5131  |    7.0720    |    0.0000  
